Sr. No.,Title,Description,status,post_type,
678,Hilary Holden,HP Office Paper (20Lb. and 87 Bright),Publish,team-member,
679,Greg Guthrie,Bionaire Personal Warm Mist Humidifier/Vaporizer,Publish,team-member,
680,Jennifer Braxton,270c,Publish,team-member,
681,Jennifer Braxton,T28 WORLD,Publish,team-member,
682,Erica Bern,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Publish,team-member,
683,Jim Sink,CF 888,Publish,team-member,
684,Noah Childs,GBC Standard Therm-A-Bind Covers,Publish,team-member,
685,Noah Childs,Epson LQ-570e Dot Matrix Printer,Publish,team-member,
686,Noah Childs,Staples Premium Bright 1-Part Blank Computer Paper,Publish,team-member,
687,Evan Minnotte,Okidata ML390 Turbo Dot Matrix Printers,Publish,team-member,
688,Guy Armstrong,"Hon Metal Bookcases, Black",Publish,team-member,
689,Guy Armstrong,"24 Capacity Maxi Data Binder Racks, Pearl",Publish,team-member,
690,Guy Armstrong,"Lesro Round Back Collection Coffee Table, End Table",Publish,team-member,
691,Chuck Magee,PC Concepts 116 Key Quantum 3000 Keyboard,Publish,team-member,
692,Greg Guthrie,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Publish,team-member,
693,Greg Guthrie,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Publish,team-member,
694,Carlos Soltero,Accessory17,Publish,team-member,
695,Greg Guthrie,Telescoping Adjustable Floor Lamp,Publish,team-member,
696,Greg Guthrie,Xerox 1898,Publish,team-member,
697,Greg Guthrie,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Publish,team-member,
698,Carlos Soltero,ACCOHIDE® Binder by Acco,Publish,team-member,
699,Carlos Soltero,Eldon Executive Woodline II Cherry Finish Desk Accessories,Publish,team-member,
700,Greg Guthrie,Belkin 8 Outlet Surge Protector,Publish,team-member,
701,Greg Guthrie,"Executive Impressions 14"" Contract Wall Clock",Publish,team-member,
702,Christopher Schild,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Publish,team-member,
703,Joy Smith,Bevis Steel Folding Chairs,Publish,team-member,
704,Joy Smith,"Global Leather and Oak Executive Chair, Black",Publish,team-member,
705,Joy Smith,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Publish,team-member,
706,Joy Smith,Fellowes Super Stor/Drawer® Files,Publish,team-member,
707,Joy Smith,Logitech Cordless Navigator Duo,Publish,team-member,
708,Joy Smith,Sharp EL500L Fraction Calculator,Publish,team-member,
709,Joy Smith,White GlueTop Scratch Pads,Publish,team-member,
710,Guy Armstrong,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Publish,team-member,
711,Brian Moss,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",Publish,team-member,
712,Brian Moss,Cardinal Holdit Business Card Pockets,Publish,team-member,
713,Logan Haushalter,Accessory36,Publish,team-member,
714,Guy Armstrong,T193,Publish,team-member,
715,Guy Armstrong,Sharp EL500L Fraction Calculator,Publish,team-member,
716,Guy Armstrong,Tennsco Commercial Shelving,Publish,team-member,
717,Christopher Schild,T39m,Publish,team-member,
718,Jim Sink,Tennsco Industrial Shelving,Publish,team-member,
719,Carlos Soltero,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Publish,team-member,
720,Jennifer Braxton,Colored Envelopes,Publish,team-member,
721,Brian Moss,Accessory13,Publish,team-member,
722,Harold Engle,Xerox 197,Publish,team-member,
723,Harold Engle,Bretford CR4500 Series Slim Rectangular Table,Publish,team-member,
724,Carlos Soltero,Xerox 1976,Publish,team-member,
725,Hilary Holden,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Publish,team-member,
726,Hilary Holden,Hammermill Color Copier Paper (28Lb. and 96 Bright),Publish,team-member,
727,Logan Haushalter,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Publish,team-member,
728,Guy Armstrong,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Publish,team-member,
729,Erica Bern,Serrated Blade or Curved Handle Hand Letter Openers,Publish,team-member,
730,Logan Haushalter,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Publish,team-member,
731,Logan Haushalter,Accessory4,Publish,team-member,
732,Harold Engle,Hon GuestStacker Chair,Publish,team-member,
733,Christopher Schild,Belkin ErgoBoard™ Keyboard,Publish,team-member,
734,Helen Abelman,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Publish,team-member,
735,Helen Abelman,Xerox 1989,Publish,team-member,
736,Jack Lebron,"GE 4 Foot Flourescent Tube, 40 Watt",Publish,team-member,
737,Jack Lebron,"Bush Westfield Collection Bookcases, Fully Assembled",Publish,team-member,
738,Jack Lebron,Nu-Dell Leatherette Frames,Publish,team-member,
739,Giulietta Baptist,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Publish,team-member,
740,Giulietta Baptist,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Publish,team-member,
741,Jim Sink,Xerox 1994,Publish,team-member,
742,Julie Creighton,Dixon Ticonderoga Core-Lock Colored Pencils,Publish,team-member,
743,Julie Creighton,CF 688,Publish,team-member,
744,Sanjit Chand,Fellowes Staxonsteel® Drawer Files,Publish,team-member,
745,Matt Collins,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Publish,team-member,
746,Matt Collins,Hanging Personal Folder File,Publish,team-member,
747,Matt Collins,"Memorex 4.7GB DVD+RW, 3/Pack",Publish,team-member,
748,Matt Collins,3285,Publish,team-member,
749,Justin Knight,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Publish,team-member,
750,Rob Haberlin,Office Star - Task Chair with Contemporary Loop Arms,Publish,team-member,
751,Rob Haberlin,Acco Perma® 3000 Stacking Storage Drawers,Publish,team-member,
752,Rob Haberlin,"80 Minute CD-R Spindle, 100/Pack - Staples",Publish,team-member,
753,Rob Haberlin,Avery 479,Publish,team-member,
754,Rob Haberlin,Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System,Publish,team-member,
755,Christina Vanderzanden,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Publish,team-member,
756,Christina Vanderzanden,Eldon® Gobal File Keepers,Publish,team-member,
757,Matt Collins,Kensington 7 Outlet MasterPiece® HOMEOFFICE Power Control Center,Publish,team-member,
758,Matt Collins,2160i,Publish,team-member,
759,Sanjit Chand,Sharp AL-1530CS Digital Copier,Publish,team-member,
760,Matt Collins,"Seth Thomas 13 1/2"" Wall Clock",Publish,team-member,
761,Justin Knight,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Publish,team-member,
762,Justin Knight,Bretford Rectangular Conference Table Tops,Publish,team-member,
763,Rob Haberlin,Wirebound Voice Message Log Book,Publish,team-member,
764,Lena Cacioppo,"80 Minute CD-R Spindle, 100/Pack - Staples",Publish,team-member,
765,Lena Cacioppo,Avery 493,Publish,team-member,
766,Kimberly Carter,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Publish,team-member,
767,Gene Hale,Novimex Swivel Fabric Task Chair,Publish,team-member,
768,Christina Vanderzanden,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Publish,team-member,
769,Matt Collins,Project Tote Personal File,Publish,team-member,
770,Sally Knutson,3M Organizer Strips,Publish,team-member,
771,Kimberly Carter,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Publish,team-member,
772,Christina Vanderzanden,"Sanford Colorific Colored Pencils, 12/Box",Publish,team-member,
773,Christina Vanderzanden,R380,Publish,team-member,
774,Kimberly Carter,Xerox 1899,Publish,team-member,
775,Kimberly Carter,"Imation IBM Formatted Diskettes, 100/Pack",Publish,team-member,
776,Rob Haberlin,Barrel Sharpener,Publish,team-member,
777,Rob Haberlin,2160i,Publish,team-member,
778,Rob Haberlin,A1228,Publish,team-member,
779,Justin Knight,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Publish,team-member,
780,Justin Knight,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Publish,team-member,
781,Justin Knight,Accessory34,Publish,team-member,
782,Christina Vanderzanden,Bagged Rubber Bands,Publish,team-member,
783,Marina Lichtenstein,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Publish,team-member,
784,Marina Lichtenstein,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",Publish,team-member,
785,Justin Knight,Wilson Jones® Four-Pocket Poly Binders,Publish,team-member,
786,Justin Knight,"Dual Level, Single-Width Filing Carts",Publish,team-member,
787,Gene Hale,Economy Binders,Publish,team-member,
788,Gene Hale,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Publish,team-member,
789,Gene Hale,X-Rack™ File for Hanging Folders,Publish,team-member,
790,Rob Haberlin,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Publish,team-member,
791,Gene Hale,Newell 323,Publish,team-member,
792,Gene Hale,Eldon Portable Mobile Manager,Publish,team-member,
793,Michelle Arnett,Avery Binder Labels,Publish,team-member,
794,Sally Knutson,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Publish,team-member,
795,Rob Haberlin,"Master Giant Foot® Doorstop, Safety Yellow",Publish,team-member,
796,Justin Knight,Newell 315,Publish,team-member,
797,Justin Knight,Kleencut® Forged Office Shears by Acme United Corporation,Publish,team-member,
798,Justin Knight,Xerox 1983,Publish,team-member,
799,Lena Cacioppo,T61,Publish,team-member,
800,Seth Vernon,Avery Poly Binder Pockets,Publish,team-member,
801,Seth Vernon,"Bush Westfield Collection Bookcases, Fully Assembled",Publish,team-member,
802,Seth Vernon,Xerox 196,Publish,team-member,
803,Gene Hale,Nu-Dell Leatherette Frames,Publish,team-member,
804,Luke Weiss,Colored Envelopes,Publish,team-member,
805,Justin Knight,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Publish,team-member,
806,Rob Haberlin,Eldon Simplefile® Box Office®,Publish,team-member,
807,Julie Creighton,6190,Publish,team-member,
808,Sanjit Chand,Panasonic KX-P3200 Dot Matrix Printer,Publish,team-member,
809,Justin Knight,Wilson Jones DublLock® D-Ring Binders,Publish,team-member,
810,Justin Knight,"Wilson Jones Hanging View Binder, White, 1""",Publish,team-member,
811,Justin Knight,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
812,Justin Knight,Ibico Recycled Linen-Style Covers,Publish,team-member,
813,Justin Knight,Self-Adhesive Ring Binder Labels,Publish,team-member,
814,Justin Knight,"Tenex File Box, Personal Filing Tote with Lid, Black",Publish,team-member,
815,Luke Weiss,1726 Digital Answering Machine,Publish,team-member,
816,Luke Weiss,DAX Clear Channel Poster Frame,Publish,team-member,
817,Christina Vanderzanden,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Publish,team-member,
818,Christina Vanderzanden,Xerox 1891,Publish,team-member,
819,Lena Cacioppo,Xerox 220,Publish,team-member,
820,Seth Vernon,Computer Printout Paper with Letter-Trim Perforations,Publish,team-member,
821,Sanjit Chand,Wausau Papers Astrobrights® Colored Envelopes,Publish,team-member,
822,Sanjit Chand,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Publish,team-member,
823,Julie Creighton,Belkin MediaBoard 104- Keyboard,Publish,team-member,
824,Sanjit Chand,"Executive Impressions 12"" Wall Clock",Publish,team-member,
825,Sanjit Chand,Southworth 25% Cotton Antique Laid Paper & Envelopes,Publish,team-member,
826,Sanjit Chand,6185,Publish,team-member,
827,Anthony Johnson,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",Publish,team-member,
828,Anthony Johnson,Xerox 1995,Publish,team-member,
829,Kimberly Carter,Honeywell Quietcare HEPA Air Cleaner,Publish,team-member,
830,Kimberly Carter,Xerox 1993,Publish,team-member,
831,Marina Lichtenstein,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Publish,team-member,
832,Sanjit Chand,"Strathmore #10 Envelopes, Ultimate White",Publish,team-member,
833,Sally Knutson,Fellowes 8 Outlet Superior Workstation Surge Protector,Publish,team-member,
834,Sally Knutson,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Publish,team-member,
835,Luke Weiss,Fiskars® Softgrip Scissors,Publish,team-member,
836,Anthony Johnson,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Publish,team-member,
837,Michelle Arnett,Accessory20,Publish,team-member,
838,Luke Weiss,Xerox 1971,Publish,team-member,
839,Luke Weiss,5165,Publish,team-member,
840,Luke Weiss,Lexmark Z54se Color Inkjet Printer,Publish,team-member,
841,Luke Weiss,StarTAC 7760,Publish,team-member,
842,Rob Haberlin,"Premier Elliptical Ring Binder, Black",Publish,team-member,
843,Julie Creighton,Wilson Jones DublLock® D-Ring Binders,Publish,team-member,
844,Julie Creighton,Micro Innovations 104 Keyboard,Publish,team-member,
845,Justin Knight,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Publish,team-member,
846,Sally Knutson,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Publish,team-member,
847,Sally Knutson,GBC Standard Plastic Binding Systems Combs,Publish,team-member,
848,Sally Knutson,Avery 520,Publish,team-member,
849,Michelle Arnett,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Publish,team-member,
850,Michelle Arnett,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Publish,team-member,
851,Julie Creighton,Fiskars® Softgrip Scissors,Publish,team-member,
852,Sally Knutson,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Publish,team-member,
853,Sally Knutson,Xerox 226,Publish,team-member,
854,Sally Knutson,Sanford 52201 APSCO Electric Pencil Sharpener,Publish,team-member,
855,Sally Knutson,Laminate Occasional Tables,Publish,team-member,
856,Kimberly Carter,Round Ring Binders,Publish,team-member,
857,Rob Haberlin,Durable Pressboard Binders,Publish,team-member,
858,Rob Haberlin,Avery 52,Publish,team-member,
859,Sally Knutson,Avery 492,Publish,team-member,
860,Sally Knutson,"Executive Impressions 13"" Chairman Wall Clock",Publish,team-member,
861,Marina Lichtenstein,Binder Posts,Publish,team-member,
862,Christina DeMoss,Avery 498,Publish,team-member,
863,Christina DeMoss,Xerox 1891,Publish,team-member,
864,Luke Weiss,DIXON Oriole® Pencils,Publish,team-member,
865,Sally Knutson,Avery Durable Binders,Publish,team-member,
866,Michelle Arnett,Avery 510,Publish,team-member,
867,Michelle Arnett,"Super Bands, 12/Pack",Publish,team-member,
868,Sanjit Chand,iDEN i95,Publish,team-member,
869,Anthony Johnson,Staples 6 Outlet Surge,Publish,team-member,
870,Anthony Johnson,Lock-Up Easel 'Spel-Binder',Publish,team-member,
871,Anthony Johnson,"Memorex 4.7GB DVD+R, 3/Pack",Publish,team-member,
872,Luke Weiss,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Publish,team-member,
873,Luke Weiss,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Publish,team-member,
874,Rob Haberlin,Office Star Flex Back Scooter Chair with White Frame,Publish,team-member,
875,Monica Federle,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Publish,team-member,
876,Monica Federle,Southworth 25% Cotton Premium Laser Paper and Envelopes,Publish,team-member,
877,Kimberly Carter,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,Publish,team-member,
878,Michelle Arnett,Lock-Up Easel 'Spel-Binder',Publish,team-member,
879,Michelle Arnett,StarTAC 7760,Publish,team-member,
880,Sanjit Chand,"Seth Thomas 12"" Clock w/ Goldtone Case",Publish,team-member,
881,Sanjit Chand,Bevis Round Conference Room Tables and Bases,Publish,team-member,
882,Marina Lichtenstein,#10 Self-Seal White Envelopes,Publish,team-member,
883,Joy Smith,Xerox 1885,Publish,team-member,
884,Christina DeMoss,Fellowes Super Stor/Drawer® Files,Publish,team-member,
885,Monica Federle,"Advantus Push Pins, Aluminum Head",Publish,team-member,
886,Monica Federle,Acco Perma® 2700 Stacking Storage Drawers,Publish,team-member,
887,Michelle Arnett,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Publish,team-member,
888,Michelle Arnett,Bevis Steel Folding Chairs,Publish,team-member,
889,Michelle Arnett,"Staples Vinyl Coated Paper Clips, 800/Box",Publish,team-member,
890,Michelle Arnett,Bevis 36 x 72 Conference Tables,Publish,team-member,
891,Michelle Arnett,Telescoping Adjustable Floor Lamp,Publish,team-member,
892,Michelle Arnett,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Publish,team-member,
893,Sally Knutson,"Advantus Push Pins, Aluminum Head",Publish,team-member,
894,Sally Knutson,"Micro Innovations Micro 3000 Keyboard, Black",Publish,team-member,
895,Christina DeMoss,LX 677,Publish,team-member,
896,Joy Smith,"Bush Westfield Collection Bookcases, Fully Assembled",Publish,team-member,
897,Joy Smith,Canon MP41DH Printing Calculator,Publish,team-member,
898,Sonia Sunley,7160,Publish,team-member,
899,Anthony O'Donnell,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Publish,team-member,
900,Anthony O'Donnell,DAX Clear Channel Poster Frame,Publish,team-member,
901,Emily Grady,"Memorex 4.7GB DVD-RAM, 3/Pack",Publish,team-member,
902,Emily Grady,Prang Drawing Pencil Set,Publish,team-member,
903,Alex Avila,Euro Pro Shark Stick Mini Vacuum,Publish,team-member,
904,Alex Avila,M3682,Publish,team-member,
905,Alex Avila,StarTAC 6500,Publish,team-member,
906,Brian Moss,SAFCO Arco Folding Chair,Publish,team-member,
907,Emily Grady,Eldon Advantage® Chair Mats for Low to Medium Pile Carpets,Publish,team-member,
908,Emily Grady,SC7868i,Publish,team-member,
909,Anna Andreadi,HP Office Recycled Paper (20Lb. and 87 Bright),Publish,team-member,
910,Anna Andreadi,KF 788,Publish,team-member,
911,Emily Grady,Logitech Internet Navigator Keyboard,Publish,team-member,
912,Barbara Fisher,ACCOHIDE® Binder by Acco,Publish,team-member,
913,Barbara Fisher,"O'Sullivan Elevations Bookcase, Cherry Finish",Publish,team-member,
914,Emily Grady,Serrated Blade or Curved Handle Hand Letter Openers,Publish,team-member,
915,Kelly Williams,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Publish,team-member,
916,Sonia Sunley,Keytronic 105-Key Spanish Keyboard,Publish,team-member,
917,Sonia Sunley,"*Staples* vLetter Openers, 2/Pack",Publish,team-member,
918,Sonia Sunley,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Publish,team-member,
919,Sonia Sunley,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Publish,team-member,
920,Sonia Sunley,Global Adaptabilities™ Conference Tables,Publish,team-member,
921,Sonia Sunley,Motorola SB4200 Cable Modem,Publish,team-member,
922,Jocasta Rupert,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Publish,team-member,
923,Sonia Sunley,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Publish,team-member,
924,Kelly Williams,Wilson Jones DublLock® D-Ring Binders,Publish,team-member,
925,Anna Andreadi,Strathmore Photo Mount Cards,Publish,team-member,
926,Rick Duston,Xerox 1978,Publish,team-member,
927,Sonia Sunley,"GBC White Gloss Covers, Plain Front",Publish,team-member,
928,Angele Hood,GBC DocuBind 200 Manual Binding Machine,Publish,team-member,
929,Sonia Sunley,Self-Adhesive Address Labels for Typewriters by Universal,Publish,team-member,
930,Sonia Sunley,"O'Sullivan Elevations Bookcase, Cherry Finish",Publish,team-member,
931,Sonia Sunley,Xerox 1891,Publish,team-member,
932,Sonia Sunley,Fellowes Recycled Storage Drawers,Publish,team-member,
933,Sonia Sunley,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Publish,team-member,
934,Dennis Bolton,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Publish,team-member,
935,Stewart Carmichael,Newell 312,Publish,team-member,
936,Dennis Bolton,Avery 487,Publish,team-member,
937,Sonia Sunley,Avery 487,Publish,team-member,
938,Sonia Sunley,Serrated Blade or Curved Handle Hand Letter Openers,Publish,team-member,
939,Stewart Carmichael,"Eureka Hand Vacuum, Bagless",Publish,team-member,
940,Kelly Williams,Airmail Envelopes,Publish,team-member,
941,Sonia Sunley,Keytronic French Keyboard,Publish,team-member,
942,Kelly Williams,TDK 4.7GB DVD-R,Publish,team-member,
943,Sonia Sunley,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Publish,team-member,
944,Sonia Sunley,Hon Olson Stacker Stools,Publish,team-member,
945,Sonia Sunley,Newell 314,Publish,team-member,
946,Sonia Sunley,Global Ergonomic Managers Chair,Publish,team-member,
947,Sonia Sunley,Xerox 1995,Publish,team-member,
948,Anna Andreadi,Belkin 8 Outlet Surge Protector,Publish,team-member,
949,Seth Vernon,Canon Image Class D660 Copier,Publish,team-member,
950,Seth Vernon,Xerox 1919,Publish,team-member,
951,Seth Vernon,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Publish,team-member,
952,Alex Avila,Accessory27,Publish,team-member,
953,Sarah Foster,Berol Giant Pencil Sharpener,Publish,team-member,
954,Alex Avila,Verbatim DVD-R 4.7GB authoring disc,Publish,team-member,
955,Alex Avila,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Publish,team-member,
956,Anna Andreadi,Xerox 227,Publish,team-member,
957,Angele Hood,"Sauder Forest Hills Library, Woodland Oak Finish",Publish,team-member,
958,Sonia Sunley,GBC VeloBinder Electric Binding Machine,Publish,team-member,
959,Kelly Williams,Accessory4,Publish,team-member,
960,Anna Andreadi,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Publish,team-member,
961,Alex Avila,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Publish,team-member,
962,Jim Karlsson,Microsoft Internet Keyboard,Publish,team-member,
963,Sonia Sunley,Xerox 1962,Publish,team-member,
964,Alex Avila,636,Publish,team-member,
965,Lisa DeCherney,Global Commerce™ Series High-Back Swivel/Tilt Chairs,Publish,team-member,
966,Barbara Fisher,Wilson Jones Easy Flow II™ Sheet Lifters,Publish,team-member,
967,Barbara Fisher,Avery White Multi-Purpose Labels,Publish,team-member,
968,Barbara Fisher,Accessory25,Publish,team-member,
969,Lisa DeCherney,Xerox 199,Publish,team-member,
970,Lisa DeCherney,Bretford Rectangular Conference Table Tops,Publish,team-member,
971,Lisa DeCherney,Bush Advantage Collection® Racetrack Conference Table,Publish,team-member,
972,Lisa DeCherney,T28 WORLD,Publish,team-member,
973,Barbara Fisher,Hon Comfortask® Task/Swivel Chairs,Publish,team-member,
974,Barbara Fisher,Fellowes 17-key keypad for PS/2 interface,Publish,team-member,
975,Barbara Fisher,Xerox 1938,Publish,team-member,
976,Alex Avila,"Executive Impressions 12"" Wall Clock",Publish,team-member,
977,Roy Skaria,1726 Digital Answering Machine,Publish,team-member,
978,Angele Hood,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Publish,team-member,
979,Seth Vernon,Rediform S.O.S. Phone Message Books,Publish,team-member,
980,Seth Vernon,StarTAC 3000,Publish,team-member,
981,Sarah Foster,Staples® General Use 3-Ring Binders,Publish,team-member,
982,Kelly Williams,Adesso Programmable 142-Key Keyboard,Publish,team-member,
983,Dennis Bolton,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Publish,team-member,
984,Dennis Bolton,Ampad #10 Peel & Seel® Holiday Envelopes,Publish,team-member,
985,Roy Skaria,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Publish,team-member,
986,Jim Karlsson,Durable Pressboard Binders,Publish,team-member,
987,Jim Karlsson,"Global Leather and Oak Executive Chair, Black",Publish,team-member,
988,Barbara Fisher,3M Organizer Strips,Publish,team-member,
989,Anna Andreadi,Xerox 1983,Publish,team-member,
990,Seth Vernon,Advantus Map Pennant Flags and Round Head Tacks,Publish,team-member,
991,Alex Avila,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Publish,team-member,
992,Alex Avila,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Publish,team-member,
993,Alex Avila,5185,Publish,team-member,
994,Sonia Sunley,Hon Every-Day® Chair Series Swivel Task Chairs,Publish,team-member,
995,Lisa DeCherney,Avery 494,Publish,team-member,
996,Dennis Bolton,Xerox 1905,Publish,team-member,
997,Anthony O'Donnell,Dana Halogen Swing-Arm Architect Lamp,Publish,team-member,
998,Barbara Fisher,Maxell DVD-RAM Discs,Publish,team-member,
999,Barbara Fisher,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Publish,team-member,
1000,Barbara Fisher,Computer Printout Paper with Letter-Trim Perforations,Publish,team-member,
1001,Barbara Fisher,StarTAC ST7868,Publish,team-member,
1002,Barbara Fisher,Novimex Turbo Task Chair,Publish,team-member,
1003,Dennis Bolton,Panasonic KX-P3626 Dot Matrix Printer,Publish,team-member,
1004,Lisa DeCherney,TI 36X Solar Scientific Calculator,Publish,team-member,
1005,Sarah Foster,Belkin F9M820V08 8 Outlet Surge,Publish,team-member,
1006,Sarah Foster,"Global Leather Task Chair, Black",Publish,team-member,
1007,Sarah Foster,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
1008,Anna Andreadi,Fellowes Super Stor/Drawer® Files,Publish,team-member,
1009,Roy Skaria,Zoom V.92 USB External Faxmodem,Publish,team-member,
1010,Roy Skaria,Unpadded Memo Slips,Publish,team-member,
1011,Roy Skaria,Canon PC1060 Personal Laser Copier,Publish,team-member,
1012,Dennis Bolton,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Publish,team-member,
1013,Alex Avila,GBC VeloBinder Strips,Publish,team-member,
1014,Roy Skaria,Xerox 227,Publish,team-member,
1015,Seth Vernon,"Memorex 4.7GB DVD+RW, 3/Pack",Publish,team-member,
1016,Barbara Fisher,"Memorex 4.7GB DVD+RW, 3/Pack",Publish,team-member,
1017,Barbara Fisher,MicroTAC 650,Publish,team-member,
1018,Peter Buhler,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Publish,team-member,
1019,Peter Buhler,Hand-Finished Solid Wood Document Frame,Publish,team-member,
1020,Dennis Bolton,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Publish,team-member,
1021,Roy Skaria,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Publish,team-member,
1022,Roy Skaria,StarTAC 7760,Publish,team-member,
1023,Alex Avila,Xerox 210,Publish,team-member,
1024,Anthony O'Donnell,Personal Creations™ Ink Jet Cards and Labels,Publish,team-member,
1025,Anthony O'Donnell,Xerox 1923,Publish,team-member,
1026,Seth Vernon,"Peel & Seel® Recycled Catalog Envelopes, Brown",Publish,team-member,
1027,Sonia Sunley,Staples Metal Binder Clips,Publish,team-member,
1028,Daniel Lacy,Hewlett-Packard 4.7GB DVD+R Discs,Publish,team-member,
1029,Daniel Lacy,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Publish,team-member,
1030,Daniel Lacy,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Publish,team-member,
1031,Giulietta Weimer,I888 World Phone,Publish,team-member,
1032,Giulietta Weimer,Xerox 1997,Publish,team-member,
1033,Mike Vittorini,GBC Therma-A-Bind 250T Electric Binding System,Publish,team-member,
1034,Mike Vittorini,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Publish,team-member,
1035,Lela Donovan,Avery Printable Repositionable Plastic Tabs,Publish,team-member,
